section,pos,team,team_url,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,ppg,win_pct,avg_scored,avg_conceded,form_last5,scraped_at,date,home_team,away_team,home_goals,away_goals,score,result,total_goals,rank,player,player_url,goals,assists,matches,gp,w,t,l,g,gd,pts,o,u,g/g
standings_overall,1.0,Al Ittihad,https://us.soccerway.com/team/al-ittihad/QmsyAjWh/,34.0,26.0,5.0,3.0,79.0,35.0,44.0,83.0,2.44,76.5,2.32,1.03,DWDWD,2026-06-10 03:15,,,,,,,,,,,,,,,,,,,,,,,,
standings_overall,2.0,Al Hilal,https://us.soccerway.com/team/al-hilal/hxxcePl9/,34.0,23.0,6.0,5.0,95.0,41.0,54.0,75.0,2.21,67.6,2.79,1.21,DWDWD,2026-06-10 03:15,,,,,,,,,,,,,,,,,,,,,,,,
standings_overall,3.0,Al Nassr,https://us.soccerway.com/team/al-nassr/h4I89ZuE/,34.0,21.0,7.0,6.0,80.0,38.0,42.0,70.0,2.06,61.8,2.35,1.12,DWDLD,2026-06-10 03:15,,,,,,,,,,,,,,,,,,,,,,,,
standings_overall,4.0,Al Qadsiah,https://us.soccerway.com/team/al-qadsiah/tvQZtrTd/,34.0,21.0,5.0,8.0,53.0,31.0,22.0,68.0,2.0,61.8,1.56,0.91,DWDWD,2026-06-10 03:15,,,,,,,,,,,,,,,,,,,,,,,,
standings_overall,5.0,Al Ahli SC,https://us.soccerway.com/team/al-ahli-sc/0MHmoCY0/,34.0,21.0,4.0,9.0,69.0,36.0,33.0,67.0,1.97,61.8,2.03,1.06,DLDWD,2026-06-10 03:15,,,,,,,,,,,,,,,,,,,,,,,,
standings_overall,6.0,Al Shabab,https://us.soccerway.com/team/al-shabab/Gzqmz0ya/,34.0,18.0,6.0,10.0,65.0,41.0,24.0,60.0,1.76,52.9,1.91,1.21,DWDLD,2026-06-10 03:15,,,,,,,,,,,,,,,,,,,,,,,,
standings_overall,7.0,Al Ettifaq,https://us.soccerway.com/team/al-ettifaq-fc/ncrXAWGn/,34.0,14.0,8.0,12.0,44.0,45.0,-1.0,50.0,1.47,41.2,1.29,1.32,DLDWD,2026-06-10 03:15,,,,,,,,,,,,,,,,,,,,,,,,
standings_overall,8.0,Al Taawon,https://us.soccerway.com/team/al-taawon/WjJkJilj/,34.0,12.0,9.0,13.0,40.0,39.0,1.0,45.0,1.32,35.3,1.18,1.15,DLDLD,2026-06-10 03:15,,,,,,,,,,,,,,,,,,,,,,,,
standings_overall,9.0,Al Kholood,https://us.soccerway.com/team/al-kholood/Mqs1WbFK/,34.0,12.0,4.0,18.0,42.0,64.0,-22.0,40.0,1.18,35.3,1.24,1.88,DWDLD,2026-06-10 03:15,,,,,,,,,,,,,,,,,,,,,,,,
standings_overall,10.0,Al Fateh,https://us.soccerway.com/team/al-fateh/OIDqIbjd/,34.0,11.0,6.0,17.0,47.0,61.0,-14.0,39.0,1.15,32.4,1.38,1.79,DLDWD,2026-06-10 03:15,,,,,,,,,,,,,,,,,,,,,,,,
standings_overall,11.0,Al Riyadh,https://us.soccerway.com/team/al-riyadh/l6Iu2w06/,34.0,10.0,8.0,16.0,37.0,52.0,-15.0,38.0,1.12,29.4,1.09,1.53,DWDLD,2026-06-10 03:15,,,,,,,,,,,,,,,,,,,,,,,,
standings_overall,12.0,Al Khaleej,https://us.soccerway.com/team/al-khaleej/UanWW9fq/,34.0,10.0,7.0,17.0,40.0,57.0,-17.0,37.0,1.09,29.4,1.18,1.68,DLDLD,2026-06-10 03:15,,,,,,,,,,,,,,,,,,,,,,,,
standings_overall,13.0,Al Fayha,https://us.soccerway.com/team/al-fayha/Meknfpi2/,34.0,8.0,12.0,14.0,27.0,49.0,-22.0,36.0,1.06,23.5,0.79,1.44,DLDWD,2026-06-10 03:15,,,,,,,,,,,,,,,,,,,,,,,,
standings_overall,14.0,Damac,https://us.soccerway.com/team/damac/xfAehSWL/,34.0,9.0,8.0,17.0,37.0,50.0,-13.0,35.0,1.03,26.5,1.09,1.47,DWDLD,2026-06-10 03:15,,,,,,,,,,,,,,,,,,,,,,,,
standings_overall,15.0,Al Okhdood,https://us.soccerway.com/team/al-okhdood/tKjRGGMC/,34.0,9.0,7.0,18.0,33.0,56.0,-23.0,34.0,1.0,26.5,0.97,1.65,DLDLD,2026-06-10 03:15,,,,,,,,,,,,,,,,,,,,,,,,
standings_overall,16.0,Al Wehda,https://us.soccerway.com/team/al-wehda/fqHipWm7/,34.0,9.0,6.0,19.0,42.0,67.0,-25.0,33.0,0.97,26.5,1.24,1.97,DWDWD,2026-06-10 03:15,,,,,,,,,,,,,,,,,,,,,,,,
standings_overall,17.0,Al Orubah,https://us.soccerway.com/team/al-orubah/A3ZAc2rn/,34.0,9.0,3.0,22.0,31.0,74.0,-43.0,30.0,0.88,26.5,0.91,2.18,DLDWD,2026-06-10 03:15,,,,,,,,,,,,,,,,,,,,,,,,
standings_overall,18.0,Al Raed,https://us.soccerway.com/team/al-raed/WfHC8geK/,34.0,6.0,3.0,25.0,41.0,66.0,-25.0,21.0,0.62,17.6,1.21,1.94,DLDLD,2026-06-10 03:15,,,,,,,,,,,,,,,,,,,,,,,,
standings_home,1.0,Al Ittihad,https://us.soccerway.com/team/al-ittihad/QmsyAjWh/,17.0,16.0,1.0,0.0,47.0,15.0,32.0,49.0,2.88,94.1,2.76,0.88,DWDWD,2026-06-10 03:15,,,,,,,,,,,,,,,,,,,,,,,,
standings_home,2.0,Al Hilal,https://us.soccerway.com/team/al-hilal/hxxcePl9/,17.0,13.0,2.0,2.0,54.0,17.0,37.0,41.0,2.41,76.5,3.18,1.0,DWDLD,2026-06-10 03:15,,,,,,,,,,,,,,,,,,,,,,,,
standings_home,3.0,Al Qadsiah,https://us.soccerway.com/team/al-qadsiah/tvQZtrTd/,17.0,13.0,2.0,2.0,30.0,12.0,18.0,41.0,2.41,76.5,1.76,0.71,DWDDD,2026-06-10 03:15,,,,,,,,,,,,,,,,,,,,,,,,
standings_home,4.0,Al Ahli SC,https://us.soccerway.com/team/al-ahli-sc/0MHmoCY0/,17.0,11.0,3.0,3.0,43.0,19.0,24.0,36.0,2.12,64.7,2.53,1.12,DWDDD,2026-06-10 03:15,,,,,,,,,,,,,,,,,,,,,,,,
